lambda_1,lambda_2,lambda_3,perplexity
0.9703,0.0272,0.0025,17.77639101113137
0.9703,0.0273,0.0024,17.81358539908201
0.9703,0.0274,0.0023,17.851425790975412
0.9703,0.0275,0.0022,17.88854057015955
0.9703,0.0276,0.0021,17.926290323938062
0.9703,0.0277,0.002,17.963565380558524
0.9703,0.0278,0.0019,18.0009766047954
0.9703,0.0279,0.0018,18.038354702976598
0.9703,0.028,0.0017,18.075730683707086
0.9703,0.0281,0.0016,18.113104819402007
0.9703,0.0282,0.0015,18.150679828740806
0.9703,0.0283,0.0014,18.187914360158565
0.9703,0.0284,0.0013,18.225343665555528
0.9703,0.0285,0.0012,18.262902852235545
0.9703,0.0286,0.0011,18.300381659026055
0.9703,0.0287,0.001,18.33765995904741
0.9703,0.0288,0.0009,18.375235155776856
0.9703,0.0289,0.0008,18.412549914529738
0.9703,0.029,0.0007,18.45021571418763
0.9703,0.0291,0.0006,18.487556946936433
0.9703,0.0292,0.0005,18.525476728703044
0.9703,0.0293,0.0004,18.563035641297684
0.9703,0.0294,0.0003,18.60108746155763
0.9703,0.0295,0.0002,18.63910677317218
0.9703,0.0296,0.0001,18.677521806887096
0.9704,0.0149,0.0147,12.979648726219065
0.9704,0.015,0.0146,13.020850922479584
0.9704,0.0151,0.0145,13.061659927525156
0.9704,0.0152,0.0144,13.10277765586248
0.9704,0.0153,0.0143,13.143865640668155
0.9704,0.0154,0.0142,13.184852542719579
0.9704,0.0155,0.0141,13.225411885285899
0.9704,0.0156,0.014,13.266211872821561
0.9704,0.0157,0.0139,13.307023158868178
0.9704,0.0158,0.0138,13.34777442558076
0.9704,0.0159,0.0137,13.388377758073114
0.9704,0.016,0.0136,13.428997526846508
0.9704,0.0161,0.0135,13.469647305724042
0.9704,0.0162,0.0134,13.51025612310169
0.9704,0.0163,0.0133,13.550761458440139
0.9704,0.0164,0.0132,13.591393196405457
0.9704,0.0165,0.0131,13.631750750958354
0.9704,0.0166,0.013,13.671936206349342
0.9704,0.0167,0.0129,13.712123140866069
0.9704,0.0168,0.0128,13.752815270704335
0.9704,0.0169,0.0127,13.793076502079066
0.9704,0.017,0.0126,13.83320840375409
0.9704,0.0171,0.0125,13.87328877382744
0.9704,0.0172,0.0124,13.913766426298135
0.9704,0.0173,0.0123,13.95380494136388
0.9704,0.0174,0.0122,13.993781363096522
0.9704,0.0175,0.0121,14.033899194411308
0.9704,0.0176,0.012,14.073669604349655
0.9704,0.0177,0.0119,14.113652078324025
0.9704,0.0178,0.0118,14.15369320518222
0.9704,0.0179,0.0117,14.193696333636229
0.9704,0.018,0.0116,14.233534582123927
0.9704,0.0181,0.0115,14.27345205413524
0.9704,0.0182,0.0114,14.313263036420624
0.9704,0.0183,0.0113,14.352788336772697
0.9704,0.0184,0.0112,14.392653877070574
0.9704,0.0185,0.0111,14.432307048280862
0.9704,0.0186,0.011,14.471876035033777
0.9704,0.0187,0.0109,14.511546523222492
0.9704,0.0188,0.0108,14.551306306108481
0.9704,0.0189,0.0107,14.590820624520056
0.9704,0.019,0.0106,14.630183993455267
0.9704,0.0191,0.0105,14.669761417059442
0.9704,0.0192,0.0104,14.709037577854954
0.9704,0.0193,0.0103,14.748588125704076
0.9704,0.0194,0.0102,14.787891709773197
0.9704,0.0195,0.0101,14.827324330662238
0.9704,0.0196,0.01,14.866754565186069
0.9704,0.0197,0.0099,14.905944419965016
0.9704,0.0198,0.0098,14.94524367336654
0.9704,0.0199,0.0097,14.98443589570858
